№,Процесс,Обратимость,Объект изменения,Принцип,Режимы реализации,Уникальность/Аналоги
1,Осознание сна,Да,состояние,принцип метакогниции,возможные; индивидуальные; мгновенные,"Понимание, что происходящее — сон"
2,Стабилизация осознанности,Да,состояние,принцип удержания,возможные; индивидуальные; постепенные,Предотвращение пробуждения
3,Управление сюжетом,Да,функция,принцип контроля,возможные; индивидуальные; континуальные,Изменение хода сна
4,Изменение окружающей среды,Да,пространство,принцип трансформации,возможные; индивидуальные; мгновенные,Создание новых декораций
5,Полёт во сне,Да,поведение,принцип свободы,возможные; индивидуальные; мгновенные,Популярный опыт управления
6,Вызов персонажей,Да,отношения,принцип вызова,возможные; индивидуальные; мгновенные,Появление нужных героев
7,Техника MILD,Условно,поведение,принцип намерения,возможные; индивидуальные; дискретные,Мнемоническое привлечение осознанных снов
8,Техника WILD,Условно,поведение,принцип перехода,возможные; индивидуальные; дискретные,Переход напрямую из бодрствования
9,Реалити‑тестирование,Да,поведение,принцип проверки,возможные; индивидуальные; дискретные,"Проверка, спишь ли ты"
10,Метод WBTB,Условно,поведение,принцип прерывания,возможные; индивидуальные; дискретные,Просыпание и возврат ко сну
11,Кручение тела,Да,поведение,принцип стабилизации,возможные; индивидуальные; мгновенные,Удержание осознанности
12,Вербальный приказ,Да,дискурс,принцип самоинструкции,возможные; индивидуальные; мгновенные,Команда самому себе
13,Просветление (дзогчен),Нет,состояние,принцип трансценденции,возможные; индивидуальные; континуальные,Буддийская практика ясности сна
14,Запись сна,Да,память/наследие,принцип фиксации,возможные; индивидуальные; мгновенные,Позволяет анализировать элементы
